Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method,Z-Score
0xd013605f3191e58d0ada499c861ee38c94e75f9c53ea6b723e4cb752f4d1d704,20002028,1717305851,2024-06-02 05:24:11,0xdcb0b547638171b6f86ae58864fde5220332d0fa,0xe37e799d5077682fa0a244d46e5649f71457bd09,1236.10048969063,Swap,0.10713845787831297
0xdb2ffed665c57656347d3b0949d67fbb7e28f4b84ec603b1a7e004fb019c679f,20005830,1717351739,2024-06-02 18:08:59,0x6889de313803839ce3e15996a86167f639b4a634,0xe37e799d5077682fa0a244d46e5649f71457bd09,1000.0,Swap,0.07765741686093376
0xdb2ffed665c57656347d3b0949d67fbb7e28f4b84ec603b1a7e004fb019c679f,20005830,1717351739,2024-06-02 18:08:59,0xe37e799d5077682fa0a244d46e5649f71457bd09,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,1000.0,Swap,0.07765741686093376
0x699be1ecdb086331901894ce3d735f356fbb29839b42a4ba0faa5484a1fdf5cc,20010183,1717404251,2024-06-03 08:44:11,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,1484.4181893267,-,0.13814501910105648
0x40fb7a875fb414509c9d34483782ec5fe7132bed9bd1433c49daefba28fdd299,20010183,1717404251,2024-06-03 08:44:11,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,1484.41802762875,-,0.13814499891039989
0x56f34836edc9551a1bdd3e82f208448c5d32f787f4968b38293b3ff087761172,20012206,1717428695,2024-06-03 15:31:35,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x1111111254eeb25477b68fb85ed929f73a960582,1421.92910040048,Strictly Swap And Call Dln,0.1303422254847175
0x56f34836edc9551a1bdd3e82f208448c5d32f787f4968b38293b3ff087761172,20012206,1717428695,2024-06-03 15:31:35,0x1111111254eeb25477b68fb85ed929f73a960582,0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251,1421.92910040048,Strictly Swap And Call Dln,0.1303422254847175
0x56f34836edc9551a1bdd3e82f208448c5d32f787f4968b38293b3ff087761172,20012206,1717428695,2024-06-03 15:31:35,0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251,0x264a4f0ccfc01629bc6c92821f2b318ac4a117e0,1416.11270240139,Strictly Swap And Call Dln,0.12961595224314454
0x67bf6a2beb77bd7b0cd4aae7f90b29d0c9280aad1503c14568255acff46388b0,20012771,1717435523,2024-06-03 17:25:23,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0xe37e799d5077682fa0a244d46e5649f71457bd09,739.0114149343256,Swap,0.04506868656447868
0x67bf6a2beb77bd7b0cd4aae7f90b29d0c9280aad1503c14568255acff46388b0,20012771,1717435523,2024-06-03 17:25:23,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x1111111254eeb25477b68fb85ed929f73a960582,739.0114149343256,Swap,0.04506868656447868
