Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method,Log_Quantity,Date
0x5022ed7a062758f3019298d001e01ba79be7c1f36bc1d1e478a893ab476cc9ea,19535451,1711664375,2024-03-28 22:19:35,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0x6469b34a2a4723163c4902dbbdea728d20693c12,808.3351099087685,-,6.696213058618551,2024-03-28
0xe5b3082b4f4d954e3bc966aaffd9f9c2b2f77f55a3594057f1ec353fb2304d3b,19535451,1711664375,2024-03-28 22:19:35,0x2c592cd9c427b558c6f0d1fdc36beb63ec2c36d7,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1004.11407851614,0x415565b0,6.912856325012628,2024-03-28
0xe5b3082b4f4d954e3bc966aaffd9f9c2b2f77f55a3594057f1ec353fb2304d3b,19535451,1711664375,2024-03-28 22:19:35,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,753.0855588871069,0x415565b0,6.625505834895421,2024-03-28
0xf095a442d59819feb30b82a8f75a796a1c95b879d946b5079ec318a903760f5c,19535451,1711664375,2024-03-28 22:19:35,0x6469b34a2a4723163c4902dbbdea728d20693c12,0xa6381631e0634e97e23a80a3c57f9582aa959e16,797.4706473412614,-,6.682698207231461,2024-03-28
0xf095a442d59819feb30b82a8f75a796a1c95b879d946b5079ec318a903760f5c,19535451,1711664375,2024-03-28 22:19:35,0xa6381631e0634e97e23a80a3c57f9582aa959e16,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,797.4706473412614,-,6.682698207231461,2024-03-28
0xf6777ea4dfa941760d0d65f1e7b2943aa08ee37080a20c82237e2399e2a94e08,19537679,1711691303,2024-03-29 05:48:23,0x2c592cd9c427b558c6f0d1fdc36beb63ec2c36d7,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1956.29172029272,0x415565b0,7.57931702133181,2024-03-29
0xf6777ea4dfa941760d0d65f1e7b2943aa08ee37080a20c82237e2399e2a94e08,19537679,1711691303,2024-03-29 05:48:23,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,1711.75525525613,0x415565b0,7.445858613193075,2024-03-29
0xf1f73164d037b15e6e24448fc2f29afcd7e343a69059dd59610dfbfd72f66ffb,19541372,1711736123,2024-03-29 18:15:23,0x495a43b9aafcafaeec494943b3b0a16fa94b4b12,0xe37e799d5077682fa0a244d46e5649f71457bd09,1515.91349953301,Swap,7.324432956979881,2024-03-29
0xf1f73164d037b15e6e24448fc2f29afcd7e343a69059dd59610dfbfd72f66ffb,19541372,1711736123,2024-03-29 18:15:23,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,1394.64041957037,Swap,7.241108671038803,2024-03-29
0x54940005218bc6ebf1e3559521a32607af6b9c43aa5afc4c8a574277abeea4e3,19541383,1711736255,2024-03-29 18:17:35,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0xe37e799d5077682fa0a244d46e5649f71457bd09,905.3990987455544,Swap,6.809479715390216,2024-03-29
0x54940005218bc6ebf1e3559521a32607af6b9c43aa5afc4c8a574277abeea4e3,19541383,1711736255,2024-03-29 18:17:35,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x1111111254eeb25477b68fb85ed929f73a960582,1052.66392603077,Swap,6.960028822497719,2024-03-29
0x54940005218bc6ebf1e3559521a32607af6b9c43aa5afc4c8a574277abeea4e3,19541383,1711736255,2024-03-29 18:17:35,0x1111111254eeb25477b68fb85ed929f73a960582,0x6889de313803839ce3e15996a86167f639b4a634,1052.66392603077,Swap,6.960028822497719,2024-03-29
0x6d8247a9a8e3f4ee1f9d40bcf2d68c6e4c4287220f6a56423ce0972850212f54,19541415,1711736639,2024-03-29 18:23:59,0x495a43b9aafcafaeec494943b3b0a16fa94b4b12,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,746.8463302752293,0x415565b0,6.617197516060107,2024-03-29
0x6d8247a9a8e3f4ee1f9d40bcf2d68c6e4c4287220f6a56423ce0972850212f54,19541415,1711736639,2024-03-29 18:23:59,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,746.8463302752293,0x415565b0,6.617197516060107,2024-03-29
0xae67830207dddc9be45aeded665e78cbbff898b1c2e23c825e2312a7068ae643,19541429,1711736807,2024-03-29 18:26:47,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0x0000000000000000000000000000000000000000,1057.17505068613,Transfer To Near,6.964301053066902,2024-03-29
0xec3459d241e143e1e01215a1fd4c7259b2c3fca11c5be19f3e9a164eda777983,19541492,1711737563,2024-03-29 18:39:23,0x6889de313803839ce3e15996a86167f639b4a634,0x0000000000000000000000000000000000000000,1680.72150461516,Transfer To Near,7.427573252873454,2024-03-29
0x71d25e3f21a3a283fdc27a62177222b1fcb488b4d936848337dd08883d1ee0db,19542502,1711749887,2024-03-29 22:04:47,0x0000000000000000000000000000000000000000,0xfbf30fc4ee985920fd6aa90f6dfe8db3c0e44763,45200.0,Finalise Near To Eth Transfer,10.718874489469398,2024-03-29
0xad7e02c4c3d89c5971780ca3050cb21ee41c76d8af63d851a2253089b331bb21,19543166,1711757939,2024-03-30 00:18:59,0x6469b34a2a4723163c4902dbbdea728d20693c12,0xa6381631e0634e97e23a80a3c57f9582aa959e16,1115.22294452467,-,7.017705894069125,2024-03-30
0xad7e02c4c3d89c5971780ca3050cb21ee41c76d8af63d851a2253089b331bb21,19543166,1711757939,2024-03-30 00:18:59,0xa6381631e0634e97e23a80a3c57f9582aa959e16,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,1115.22294452467,-,7.017705894069125,2024-03-30
0x5e95238311a0f7fb843f50620e428ff5b4c2c8670a618d4b4d55cc2a0ba3cacf,19543166,1711757939,2024-03-30 00:18:59,0xfb1abd6b3648d788365ae85f3b4f5bd5aaa99f1e,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1792.21558341711,0x415565b0,7.491765702527435,2024-03-30
0x5e95238311a0f7fb843f50620e428ff5b4c2c8670a618d4b4d55cc2a0ba3cacf,19543166,1711757939,2024-03-30 00:18:59,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,1792.21558341711,0x415565b0,7.491765702527435,2024-03-30
0x34d0a5f721a7a3f7fd8a26819ec1a6ec602212d4effc8a27d3cfe3382875dd69,19543166,1711757939,2024-03-30 00:18:59,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0x6469b34a2a4723163c4902dbbdea728d20693c12,1349.22791126627,-,7.2080286803436495,2024-03-30
0xb96a09f56e39829dbb99038fe135154af9a1ad7bcdd23875f23f7676c6a58ced,19543172,1711758011,2024-03-30 00:20:11,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0xe37e799d5077682fa0a244d46e5649f71457bd09,799.9506814496093,Swap,6.685799373948815,2024-03-30
0xb96a09f56e39829dbb99038fe135154af9a1ad7bcdd23875f23f7676c6a58ced,19543172,1711758011,2024-03-30 00:20:11,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x111111125421ca6dc452d289314280a0f8842a65,799.9506814496093,Swap,6.685799373948815,2024-03-30
0xb96a09f56e39829dbb99038fe135154af9a1ad7bcdd23875f23f7676c6a58ced,19543172,1711758011,2024-03-30 00:20:11,0x111111125421ca6dc452d289314280a0f8842a65,0xbc6a5cfcf24eacda3c25c042494ef21b77165738,799.9506814496093,Swap,6.685799373948815,2024-03-30
0x7e62878b2df36128262e871f9bf3815f38e972d7e0eb9eebadd727c7a63d220e,19543241,1711758839,2024-03-30 00:33:59,0x64528a2896f2df03c16e4ac5d180dfb0f8b584f6,0x0000000000000000000000000000000000000000,2607.99,Transfer To Near,7.866718452243219,2024-03-30
0xa1dacc7218a1484c32485bf11284a60aacb6d8f964387842f30294e0e7df00b4,19548582,1711823771,2024-03-30 18:36:11,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0xa6381631e0634e97e23a80a3c57f9582aa959e16,735.8978057743471,-,6.602449220124806,2024-03-30
0x51932efe416977c4ee5c8ba18e33a737727fbf597e5d1fb2e137591daa1b08a4,19548582,1711823771,2024-03-30 18:36:11,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,0xe37e799d5077682fa0a244d46e5649f71457bd09,1181.63869376859,Swap,7.0755034020875485,2024-03-30
0x51932efe416977c4ee5c8ba18e33a737727fbf597e5d1fb2e137591daa1b08a4,19548582,1711823771,2024-03-30 18:36:11,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x1111111254eeb25477b68fb85ed929f73a960582,1380.64369777553,Swap,7.231029154716444,2024-03-30
0x51932efe416977c4ee5c8ba18e33a737727fbf597e5d1fb2e137591daa1b08a4,19548582,1711823771,2024-03-30 18:36:11,0x1111111254eeb25477b68fb85ed929f73a960582,0x1a36a48493be4633dd12a29f0b4b1acb48963193,1380.64369777553,Swap,7.231029154716444,2024-03-30
0xcaa50b6a423d97edc928e514c61fd38f5deafd8f60f85848bfad885b55987e45,19548582,1711823771,2024-03-30 18:36:11,0xa6381631e0634e97e23a80a3c57f9582aa959e16,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,735.8978057743471,-,6.602449220124806,2024-03-30
0x47770e010222caa92a11aaf0310b50d8e1e4ceae8ce59f085304c0f8655b7be6,19548588,1711823843,2024-03-30 18:37:23,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0xe37e799d5077682fa0a244d46e5649f71457bd09,800.0,Swap,6.68586094706836,2024-03-30
